hex,bboxes,mask,cls,thermal
00000000,False,True,,False
00000001,False,True,1.0,False
00000002,False,True,1.0,False
00000003,False,True,1.0,False
00000004,False,True,1.0,False
00000005,False,True,1.0,False
00000006,False,True,1.0,False
00000007,False,True,1.0,False
00000008,False,True,1.0,False
00000009,False,True,1.0,False
0000000a,False,True,1.0,False
0000000b,False,True,1.0,False
0000000c,False,True,1.0,False
0000000d,False,True,1.0,False
0000000e,False,True,1.0,False
0000000f,False,True,1.0,False
00000010,False,True,1.0,False
00000011,False,True,1.0,False
00000012,False,True,1.0,False
00000013,False,True,1.0,False
00000014,False,True,1.0,False
00000015,False,True,1.0,False
00000016,False,True,1.0,False
00000017,False,True,1.0,False
00000018,False,True,1.0,False
00000019,False,True,1.0,False
0000001a,False,True,1.0,False
0000001b,False,True,1.0,False
0000001c,False,True,1.0,False
0000001d,False,True,1.0,False
0000001e,False,True,1.0,False
0000001f,False,True,1.0,False
00000020,False,True,1.0,False
00000021,False,True,1.0,False
00000022,False,True,1.0,False
00000023,False,True,1.0,False
00000024,False,True,1.0,False
00000025,False,True,1.0,False
00000026,False,True,1.0,False
00000027,False,True,1.0,False
00000028,False,True,1.0,False
00000029,False,True,1.0,False
0000002a,False,True,1.0,False
0000002b,False,True,1.0,False
0000002c,False,True,1.0,False
0000002d,False,True,1.0,False
0000002e,False,True,1.0,False
0000002f,False,True,1.0,False
00000030,False,True,1.0,False
00000031,False,True,1.0,False
00000032,False,True,1.0,False
00000033,False,True,1.0,False
00000034,False,True,1.0,False
00000035,False,True,1.0,False
00000036,False,True,1.0,False
00000037,False,True,1.0,False
00000038,False,True,1.0,False
00000039,False,True,1.0,False
0000003a,False,True,1.0,False
0000003b,False,True,1.0,False
0000003c,False,True,1.0,False
0000003d,False,True,1.0,False
0000003e,False,True,1.0,False
0000003f,False,True,1.0,False
00000040,False,True,1.0,False
00000041,False,True,1.0,False
00000042,False,True,1.0,False
00000043,False,True,1.0,False
00000044,False,True,1.0,False
00000045,False,True,1.0,False
00000046,False,True,1.0,False
00000047,False,True,1.0,False
00000048,False,True,1.0,False
00000049,False,True,1.0,False
0000004a,False,True,1.0,False
0000004b,False,True,1.0,False
0000004c,False,True,1.0,False
0000004d,False,True,1.0,False
0000004e,False,True,1.0,False
0000004f,False,True,1.0,False
00000050,False,True,1.0,False
00000051,False,True,1.0,False
00000052,False,True,1.0,False
00000053,False,True,1.0,False
00000054,False,True,1.0,False
00000055,False,True,1.0,False
00000056,False,True,1.0,False
00000057,False,True,1.0,False
